id,poster_id,poster_team_id,title,description,required_skill_ids,status,amount_usd,ttl_seconds,created_at,expires_at
bounty-0024,eng-019,team-platform,Need help with Redis issue,Synthetic blocker requiring expertise in Redis.,skill-redis,OPEN,50,86400,2026-04-21T21:00:00Z,2026-04-22T21:00:00Z
bounty-0025,eng-026,team-payments,Need help with Observability issue,Synthetic blocker requiring expertise in Observability.,skill-observability,OPEN,75,7200,2026-05-31T15:00:00Z,2026-05-31T19:00:00Z
bounty-0026,eng-003,team-ml,Need help with PostgreSQL issue,Synthetic blocker requiring expertise in PostgreSQL.,skill-postgres,EXPIRED,200,7200,2026-08-04T19:00:00Z,2026-08-05T19:00:00Z
bounty-0027,eng-010,team-frontend,Need help with Spark + TypeScript issue,"Synthetic blocker requiring expertise in Spark, TypeScript.",skill-spark|skill-typescript,EXPIRED,100,3600,2026-07-12T18:00:00Z,2026-07-12T19:00:00Z
bounty-0028,eng-017,team-data,Need help with Python issue,Synthetic blocker requiring expertise in Python.,skill-python,OPEN,75,7200,2026-07-24T04:00:00Z,2026-07-24T06:00:00Z
bounty-0029,eng-024,team-security,Need help with Kafka + Neo4j + Go issue,"Synthetic blocker requiring expertise in Kafka, Neo4j, Go.",skill-kafka|skill-neo4j|skill-go,EXPIRED,100,3600,2026-06-28T22:00:00Z,2026-06-29T00:00:00Z
bounty-0030,eng-001,team-platform,Need help with MLOps + Redis issue,"Synthetic blocker requiring expertise in MLOps, Redis.",skill-mlops|skill-redis,OPEN,250,7200,2026-05-22T22:00:00Z,2026-05-23T02:00:00Z
bounty-0031,eng-008,team-payments,Need help with Observability + Python + AppSec issue,"Synthetic blocker requiring expertise in Observability, Python, AppSec.",skill-observability|skill-python|skill-security,EXPIRED,50,7200,2026-04-23T06:00:00Z,2026-04-23T08:00:00Z
bounty-0032,eng-015,team-ml,Need help with Terraform + Neo4j issue,"Synthetic blocker requiring expertise in Terraform, Neo4j.",skill-terraform|skill-neo4j,ACCEPTED,100,14400,2026-08-11T11:00:00Z,2026-08-12T11:00:00Z
bounty-0033,eng-022,team-frontend,Need help with TypeScript issue,Synthetic blocker requiring expertise in TypeScript.,skill-typescript,EXPIRED,100,86400,2026-05-24T03:00:00Z,2026-05-25T03:00:00Z
bounty-0034,eng-029,team-data,Need help with Observability issue,Synthetic blocker requiring expertise in Observability.,skill-observability,RESOLVED,200,14400,2026-08-14T23:00:00Z,2026-08-15T00:00:00Z
bounty-0035,eng-006,team-security,Need help with PostgreSQL issue,Synthetic blocker requiring expertise in PostgreSQL.,skill-postgres,OPEN,250,14400,2026-05-25T18:00:00Z,2026-05-25T19:00:00Z
bounty-0036,eng-013,team-platform,Need help with TypeScript issue,Synthetic blocker requiring expertise in TypeScript.,skill-typescript,EXPIRED,100,7200,2026-06-14T16:00:00Z,2026-06-15T16:00:00Z
bounty-0037,eng-020,team-payments,Need help with Terraform + TypeScript + Kafka issue,"Synthetic blocker requiring expertise in Terraform, TypeScript, Kafka.",skill-terraform|skill-typescript|skill-kafka,EXPIRED,100,14400,2026-06-21T01:00:00Z,2026-06-21T02:00:00Z
bounty-0038,eng-027,team-ml,Need help with Next.js issue,Synthetic blocker requiring expertise in Next.js.,skill-nextjs,EXPIRED,100,86400,2026-06-28T14:00:00Z,2026-06-28T15:00:00Z
bounty-0039,eng-004,team-frontend,Need help with Kafka + Next.js issue,"Synthetic blocker requiring expertise in Kafka, Next.js.",skill-kafka|skill-nextjs,OPEN,150,3600,2026-07-19T02:00:00Z,2026-07-20T02:00:00Z
bounty-0040,eng-011,team-data,Need help with Go + PostgreSQL issue,"Synthetic blocker requiring expertise in Go, PostgreSQL.",skill-go|skill-postgres,EXPIRED,250,86400,2026-06-15T01:00:00Z,2026-06-15T02:00:00Z
