engineer_id,skill_id,level,last_used_at
eng-018,skill-terraform,5,2026-07-25
eng-018,skill-kafka,3,2025-09-13
eng-019,skill-security,3,2026-05-01
eng-019,skill-python,5,2026-07-11
eng-019,skill-mlops,5,2026-01-04
eng-019,skill-postgres,3,2025-05-05
eng-019,skill-redis,4,2025-10-11
eng-020,skill-postgres,5,2025-09-17
eng-020,skill-go,4,2026-06-09
eng-020,skill-python,4,2025-08-25
eng-020,skill-spark,5,2025-09-14
eng-021,skill-kafka,4,2026-07-11
eng-021,skill-redis,2,2025-06-01
eng-021,skill-neo4j,4,2025-10-02
eng-021,skill-observability,5,2025-03-14
eng-022,skill-react,2,2025-05-30
eng-022,skill-observability,2,2025-03-05
eng-022,skill-postgres,3,2025-08-12
eng-022,skill-redis,5,2026-06-09
eng-023,skill-spark,4,2025-03-18
eng-023,skill-nextjs,4,2025-06-27
eng-023,skill-observability,4,2025-07-03
eng-023,skill-terraform,4,2026-04-11
eng-023,skill-python,3,2025-06-15
eng-023,skill-kafka,5,2026-02-22
eng-024,skill-observability,4,2026-01-16
eng-024,skill-redis,5,2025-09-24
eng-024,skill-react,5,2025-05-24
eng-024,skill-kubernetes,5,2026-01-13
eng-024,skill-go,5,2026-02-27
eng-024,skill-terraform,2,2025-11-02
eng-025,skill-python,4,2026-01-01
eng-025,skill-spark,3,2026-03-22
eng-025,skill-observability,2,2026-07-03
eng-025,skill-nextjs,3,2025-04-20
eng-025,skill-kafka,2,2025-05-10
eng-025,skill-postgres,5,2026-02-01
eng-026,skill-mlops,2,2026-05-02
eng-026,skill-react,5,2026-01-07
eng-026,skill-typescript,3,2025-03-07
eng-026,skill-terraform,5,2026-06-29
eng-026,skill-postgres,3,2026-04-17
eng-026,skill-neo4j,5,2026-04-05
eng-027,skill-python,5,2025-03-21
eng-027,skill-kubernetes,5,2025-05-20
eng-027,skill-terraform,3,2025-04-20
eng-027,skill-observability,5,2025-11-27
eng-027,skill-nextjs,3,2025-11-09
eng-028,skill-typescript,4,2025-12-22
eng-028,skill-python,4,2025-09-10
eng-028,skill-postgres,4,2026-05-29
eng-028,skill-redis,3,2026-03-18
eng-028,skill-spark,3,2025-07-23
eng-028,skill-kafka,3,2026-01-12
eng-029,skill-react,5,2025-06-20
eng-029,skill-spark,2,2026-01-20
eng-029,skill-nextjs,5,2025-07-17
eng-029,skill-kubernetes,2,2025-07-26
eng-030,skill-go,3,2025-04-07
eng-030,skill-nextjs,3,2025-11-13
eng-030,skill-redis,5,2025-04-09
eng-030,skill-react,2,2025-07-17
eng-030,skill-mlops,4,2025-07-01
